location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Janki Nagar,1030,2,2,independent,premium,3287,1.99,0.57,3.37,1.52,1.69,0,76.82
Bijalpur,2823,2,3,independent,classic,2041,1.95,1.16,2.28,1.18,2.88,1,177.24
Banganga,1337,2,2,flat,affordable,1754,0.37,0.28,0.5,0.18,0.23,1,30.04
Rau Pithampur Road,1239,2,3,independent,affordable,2339,1.35,0.67,1.7,0.56,0.29,0,66.06
Bicholi Hapsi,1677,2,3,flat,classic,1857,0.72,0.29,0.41,0.29,1.56,1,47.01
Navlakha,2543,4,3,independent,premium,3246,4.52,2.17,1.77,1.37,4.13,1,169.82
Tejaji Nagar,1604,2,2,independent,affordable,1978,1.27,0.79,1.35,0.87,0.32,0,60.49
Limbodi,1050,3,3,independent,affordable,2001,0.9,0.41,0.99,0.52,0.21,1,43.3
Super Corridor,2826,4,3,flat,elite,2788,2.36,0.83,0.78,0.46,3.94,1,121.94
Tejaji Nagar,929,1,2,independent,affordable,2303,1.19,0.4,1.56,0.5,0.21,0,41.62
Bhawarkuan,1351,3,2,flat,classic,2097,0.64,0.26,0.78,0.42,1.42,1,44.06
Janki Nagar,1050,3,3,flat,premium,1896,0.25,0.24,0.7,0.44,1.0,0,50.63
Rangwasa,1271,3,2,independent,affordable,2329,0.98,0.87,1.24,0.66,0.3,0,45.68
Rau,1981,4,3,flat,classic,2057,1.19,0.27,0.42,0.37,2.04,0,63.41
Scheme 54,1828,2,3,flat,classic,1551,0.82,0.32,0.69,0.32,1.42,0,78.28
Bicholi Mardana,1050,3,2,flat,premium,2526,0.33,0.27,0.92,0.39,1.33,0,48.28
MR 11,1808,1,1,independent,classic,2020,1.81,0.73,2.08,1.14,1.83,0,89.89
Agrawal Nagar,1050,3,2,independent,classic,2379,1.49,0.7,2.34,0.87,1.25,0,68.0
Saket Nagar,928,2,3,flat,affordable,1840,0.24,0.23,0.58,0.24,0.17,1,30.69
Nipania,1130,2,2,flat,elite,2444,0.37,0.2,0.85,0.5,1.38,1,49.64
Sanwer Road,1299,2,3,flat,affordable,1634,0.57,0.16,0.38,0.29,0.21,0,42.0
Sapna Sangeeta Road,3228,4,3,independent,elite,3689,7.68,2.74,3.93,1.3,5.95,0,297.12
Saket Nagar,2438,3,3,independent,affordable,1888,2.54,0.74,1.19,0.55,0.46,0,104.1
Dewas Naka,1114,2,2,flat,classic,1514,0.35,0.22,0.27,0.49,0.84,0,42.41
Vijay Nagar,3137,3,2,independent,premium,2568,3.56,1.69,1.43,1.27,4.03,0,251.02
Piplya Kumar,1024,1,1,flat,classic,1877,0.53,0.19,0.48,0.37,0.96,1,29.13
Old Palasia,3348,4,4,independent,elite,3565,6.73,3.39,3.52,1.61,5.97,1,276.44
Scheme 54,899,2,2,flat,classic,2010,0.28,0.25,0.45,0.35,0.9,1,26.2
Vijay Nagar,2131,4,4,independent,premium,3180,3.31,1.25,1.67,1.07,3.39,0,167.6
Pipliyahana,1747,2,2,flat,classic,1676,0.83,0.36,0.66,0.44,1.46,0,62.28
Geeta Bhawan,1864,1,1,independent,classic,2296,2.81,0.98,1.52,0.75,2.14,1,78.21
Rau Pithampur Road,1491,2,2,independent,affordable,1664,0.75,0.55,1.72,0.54,0.25,1,51.93
Sapna Sangeeta Road,1400,4,3,independent,elite,3336,1.53,1.21,3.44,1.71,2.33,0,110.99
Sapna Sangeeta Road,4138,4,3,independent,elite,3331,7.72,4.0,1.97,1.82,6.89,1,313.02
Super Corridor,4310,2,3,independent,elite,3782,5.73,3.14,1.85,1.43,8.15,0,287.24
Agrawal Nagar,1069,3,2,independent,classic,2639,1.77,0.6,2.08,1.15,1.41,0,70.24
Scheme 136,730,2,2,flat,premium,2165,0.42,0.14,0.68,0.56,0.79,0,29.52
Piplya Kumar,1005,2,2,flat,classic,2081,0.24,0.19,0.25,0.35,1.05,1,39.14
Old Palasia,3730,3,2,independent,elite,2892,3.49,2.16,3.92,1.71,5.39,0,361.43
