location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
TC Palaya,1030,2,2,flat,affordable,1971,0.41,0.3,0.46,0.36,0.2,1,35.98
Bagalur,1171,2,2,flat,affordable,1674,0.46,0.24,0.3,0.23,0.2,0,61.54
Basavanagudi,3405,2,2,flat,ultra_premium,3993,2.58,1.02,1.13,0.91,6.8,1,466.62
Bellandur,1924,2,3,flat,premium,3182,0.92,0.35,0.57,0.62,3.06,0,171.67
Nelamangala,1140,1,1,flat,affordable,1529,0.48,0.24,0.39,0.47,0.17,1,32.91
Yelahanka,1400,4,3,flat,mid,1885,0.66,0.3,0.99,0.35,1.32,1,68.05
Whitefield,1656,3,2,flat,premium,3067,0.56,0.54,1.15,0.4,2.54,1,215.35
HSR Layout,2291,3,2,independent,premium,2544,2.16,1.74,3.73,1.45,2.91,1,282.82
Bannerghatta Road,700,2,2,flat,premium,2880,0.43,0.16,0.65,0.6,1.01,0,55.96
Koramangala,1050,3,2,flat,ultra_premium,2607,0.45,0.37,0.63,0.89,1.37,1,148.36
HSR Layout,3655,3,3,independent,premium,3157,5.1,1.86,3.62,1.64,5.77,1,489.96
Bellandur,2793,5,4,independent,premium,3840,4.05,1.82,4.43,1.68,5.36,0,501.29
Malleshwaram,2776,2,2,flat,premium,2443,1.25,0.72,1.45,0.35,3.39,1,294.58
Sarjapur Road,1843,4,4,independent,premium,2602,1.65,1.09,3.06,1.76,2.4,0,265.59
HSR Layout,1750,5,4,independent,premium,3457,3.68,1.24,4.39,1.64,3.02,0,351.81
Electronic City,1757,3,2,flat,mid,2013,0.84,0.33,0.67,0.41,1.77,0,111.11
Marathahalli,1931,3,2,flat,premium,2621,1.17,0.52,0.73,0.4,2.53,0,155.27
Thanisandra,1813,4,4,flat,premium,2431,1.25,0.47,1.24,0.55,2.2,1,112.74
Hebbal,2684,4,4,flat,premium,2719,1.98,0.45,1.19,0.5,3.65,1,212.82
Tumkur Road,3007,3,2,independent,mid,2023,3.98,1.63,1.65,1.35,3.04,1,233.24
JP Nagar,1159,2,3,flat,premium,2766,0.43,0.44,1.03,0.51,1.6,0,98.18
Banashankari,1982,2,2,flat,mid,2438,0.59,0.27,1.11,0.28,2.42,0,115.91
KR Puram,1535,3,2,independent,mid,2991,2.37,1.02,2.69,0.86,2.3,1,146.23
Bannerghatta Road,3472,4,3,independent,premium,3041,5.51,2.73,2.48,1.04,5.28,1,323.94
Whitefield,1050,3,2,flat,premium,2878,0.53,0.44,0.98,0.59,1.51,0,105.43
Yelahanka,1474,3,2,independent,mid,2020,1.75,0.73,2.78,1.06,1.49,1,147.39
JP Nagar,2154,4,3,flat,premium,2861,0.75,0.46,0.69,0.48,3.08,1,176.9
MG Road,2116,3,2,flat,ultra_premium,3090,1.74,0.84,1.35,0.7,3.27,0,357.27
Vidyaranyapura,2558,2,2,independent,mid,2725,3.29,1.93,2.88,1.06,3.49,1,214.75
Indiranagar,2226,5,4,independent,ultra_premium,4763,4.36,1.9,5.14,2.05,5.3,1,628.59
Jigani,1440,2,3,flat,affordable,1562,0.55,0.12,0.31,0.21,0.22,1,49.99
Frazer Town,3151,3,3,flat,ultra_premium,3160,1.13,1.07,1.32,0.84,4.98,1,268.09
Mysore Road,1050,3,2,flat,mid,2107,0.55,0.25,0.88,0.51,1.11,1,47.5
Basavanagudi,4686,3,2,independent,ultra_premium,3440,7.7,4.59,2.9,1.7,8.06,0,1023.11
BTM Layout,2050,2,2,flat,premium,2410,1.45,0.54,1.3,0.43,2.47,1,145.59
Varthur,1436,3,2,flat,mid,1620,0.66,0.25,0.46,0.45,1.16,1,59.09
Vidyaranyapura,2136,2,2,independent,mid,2198,2.7,1.0,3.34,0.97,2.35,1,191.82
KR Puram,700,2,2,flat,mid,2067,0.41,0.12,0.53,0.5,0.72,0,47.99
Rajajinagar,3465,3,2,flat,ultra_premium,3386,2.72,0.68,1.25,0.83,5.87,1,472.72
Rajarajeshwari Nagar,1963,2,2,flat,mid,1903,0.63,0.37,1.2,0.39,1.87,1,89.06
KR Puram,1052,2,2,independent,mid,3041,1.73,0.85,3.4,1.12,1.6,0,83.52
Sarjapur Road,1466,4,4,independent,premium,3376,2.81,1.48,2.04,1.5,2.47,1,190.4
Yelahanka,2177,3,2,flat,mid,2329,0.89,0.61,0.56,0.26,2.54,1,101.58
Mysore Road,3155,2,2,independent,mid,2010,2.46,1.42,2.17,1.33,3.17,0,319.24
Rajajinagar,1646,3,2,flat,ultra_premium,3614,0.69,0.82,1.59,0.53,2.97,0,231.6
Bellandur,1798,4,3,flat,premium,2077,0.41,0.26,1.41,0.56,1.87,0,195.18
Horamavu,2300,1,2,independent,mid,3014,3.45,1.9,2.06,0.92,3.47,1,181.54
Indiranagar,3411,5,4,flat,ultra_premium,3564,3.33,1.48,1.56,0.6,6.08,0,607.04
